rel	query_id	entity	cc_sum	cc_avg
0	SemSearch_LS-1	E11478	20	1.0
0	SemSearch_LS-1	E10970	2	0.1
0	SemSearch_LS-1	E754	1	0.05
2	SemSearch_LS-1	E963	20	1.0
0	SemSearch_LS-1	E12064	1	0.05
0	SemSearch_LS-1	E5817	8	0.4
0	SemSearch_LS-1	E8900	17	0.85
0	SemSearch_LS-1	E14972	6	0.3
0	SemSearch_LS-1	E10385	2	0.1
0	SemSearch_LS-1	E4264	11	0.55
0	SemSearch_LS-1	E2185	1	0.05
0	SemSearch_LS-1	E8770	16	0.8
0	SemSearch_LS-1	E3464	2	0.1
0	SemSearch_LS-1	E10369	1	0.05
0	SemSearch_LS-1	E14725	18	0.9
0	SemSearch_LS-1	E1394	2	0.1
0	SemSearch_LS-1	E3630	14	0.7
0	SemSearch_LS-1	E5960	8	0.4
0	SemSearch_LS-1	E8260	1	0.05
0	SemSearch_LS-1	E5391	2	0.1
0	SemSearch_LS-1	E6053	1	0.05
0	SemSearch_LS-1	E13814	1	0.05
0	SemSearch_LS-1	E13557	3	0.15
0	SemSearch_LS-1	E6332	1	0.05
0	SemSearch_LS-1	E7610	17	0.85
0	SemSearch_LS-1	E427	2	0.1
2	SemSearch_LS-1	E5364	21	1.05
0	SemSearch_LS-1	E5883	2	0.1
2	SemSearch_LS-1	E8465	17	0.85
2	SemSearch_LS-1	E4657	19	0.95
0	SemSearch_LS-1	E8817	17	0.85
0	SemSearch_LS-1	E14022	5	0.25
0	SemSearch_LS-1	E12680	17	0.85
0	SemSearch_LS-1	E14548	2	0.1
0	SemSearch_LS-1	E5746	1	0.05
0	SemSearch_LS-1	E1780	1	0.05
0	SemSearch_LS-1	E12563	4	0.2
0	SemSearch_LS-1	E9779	9	0.45
0	SemSearch_LS-1	E12620	1	0.05
0	SemSearch_LS-1	E14577	2	0.1
0	SemSearch_LS-1	E12070	1	0.05
0	SemSearch_LS-1	E12440	14	0.7
0	SemSearch_LS-1	E15245	1	0.05
0	SemSearch_LS-1	E4769	1	0.05
0	SemSearch_LS-1	E6187	3	0.15
0	SemSearch_LS-1	E8914	1	0.05
0	SemSearch_LS-1	E14781	5	0.25
0	SemSearch_LS-1	E11119	4	0.2
0	SemSearch_LS-1	E8532	19	0.95
0	SemSearch_LS-1	E11179	1	0.05
0	SemSearch_LS-1	E970	20	1.0
0	SemSearch_LS-1	E1918	7	0.35
0	SemSearch_LS-1	E4781	21	1.05
0	SemSearch_LS-1	E11208	6	0.3
0	SemSearch_LS-1	E13134	1	0.05
0	SemSearch_LS-1	E13982	1	0.05
0	SemSearch_LS-1	E8033	10	0.5
0	SemSearch_LS-1	E8515	12	0.6
0	SemSearch_LS-1	E7684	1	0.05
2	SemSearch_LS-1	E13766	23	1.15
0	SemSearch_LS-1	E13443	1	0.05
0	SemSearch_LS-1	E11276	5	0.25
0	SemSearch_LS-1	E10568	1	0.05
0	SemSearch_LS-1	E9279	1	0.05
0	SemSearch_LS-1	E11095	1	0.05
0	SemSearch_LS-1	E10654	1	0.05
0	SemSearch_LS-1	E329	14	0.7
0	SemSearch_LS-1	E5316	1	0.05
0	SemSearch_LS-1	E7952	3	0.15
0	SemSearch_LS-1	E2708	20	1.0
0	SemSearch_LS-1	E15119	1	0.05
0	SemSearch_LS-1	E891	3	0.15
0	SemSearch_LS-1	E9078	3	0.15
0	SemSearch_LS-1	E8797	10	0.5
0	SemSearch_LS-1	E8782	1	0.05
0	SemSearch_LS-1	E9746	1	0.05
0	SemSearch_LS-1	E708	1	0.05
0	SemSearch_LS-1	E11804	2	0.1
0	SemSearch_LS-1	E11067	1	0.05
0	SemSearch_LS-1	E15262	1	0.05
2	SemSearch_LS-1	E12326	16	0.8
0	SemSearch_LS-1	E15034	5	0.25
0	SemSearch_LS-1	E7639	19	0.95
0	SemSearch_LS-1	E11602	1	0.05
0	SemSearch_LS-1	E976	1	0.05
0	SemSearch_LS-1	E3115	2	0.1
0	SemSearch_LS-1	E13114	2	0.1
0	SemSearch_LS-1	E11003	1	0.05
0	SemSearch_LS-1	E7377	7	0.35
0	SemSearch_LS-1	E9505	13	0.65
0	SemSearch_LS-1	E487	1	0.05
0	SemSearch_LS-1	E6502	1	0.05
0	SemSearch_LS-1	E13004	1	0.05
0	SemSearch_LS-1	E1	2	0.1
0	SemSearch_LS-1	E13342	1	0.05
0	SemSearch_LS-1	E12007	2	0.1
0	SemSearch_LS-1	E5309	2	0.1
0	SemSearch_LS-1	E8549	5	0.25
0	SemSearch_LS-1	E9582	4	0.2
0	SemSearch_LS-1	E7068	1	0.05
0	SemSearch_LS-2	E2024	1	0.05
0	SemSearch_LS-2	E8429	1	0.05
0	SemSearch_LS-2	E12526	1	0.05
0	SemSearch_LS-2	E188	1	0.05
0	SemSearch_LS-2	E13723	1	0.05
0	SemSearch_LS-2	E10491	1	0.05
0	SemSearch_LS-2	E4030	2	0.1
0	SemSearch_LS-2	E11637	1	0.05
0	SemSearch_LS-2	E2899	1	0.05
0	SemSearch_LS-2	E9350	1	0.05
0	SemSearch_LS-2	E5013	1	0.05
0	SemSearch_LS-2	E4503	2	0.1
0	SemSearch_LS-2	E5188	1	0.05
0	SemSearch_LS-2	E9914	2	0.1
0	SemSearch_LS-2	E3561	1	0.05
0	SemSearch_LS-2	E6164	1	0.05
0	SemSearch_LS-2	E6523	1	0.05
0	SemSearch_LS-2	E4633	1	0.05
0	SemSearch_LS-2	E14670	1	0.05
0	SemSearch_LS-2	E7467	5	0.25
0	SemSearch_LS-2	E5513	2	0.1
0	SemSearch_LS-2	E13868	1	0.05
0	SemSearch_LS-2	E362	1	0.05
0	SemSearch_LS-2	E9165	1	0.05
0	SemSearch_LS-2	E14811	5	0.25
0	SemSearch_LS-2	E9317	1	0.05
0	SemSearch_LS-2	E14076	1	0.05
0	SemSearch_LS-2	E3903	1	0.05
0	SemSearch_LS-2	E6760	1	0.05
0	SemSearch_LS-2	E3784	1	0.05
0	SemSearch_LS-2	E15147	2	0.1
0	SemSearch_LS-2	E2119	1	0.05
0	SemSearch_LS-2	E14058	1	0.05
0	SemSearch_LS-2	E14092	1	0.05
0	SemSearch_LS-2	E3653	1	0.05
0	SemSearch_LS-2	E13250	1	0.05
0	SemSearch_LS-2	E9287	2	0.1
0	SemSearch_LS-2	E15318	2	0.1
0	SemSearch_LS-2	E7373	1	0.05
0	SemSearch_LS-2	E14070	1	0.05
0	SemSearch_LS-2	E198	1	0.05
0	SemSearch_LS-2	E13032	3	0.15
0	SemSearch_LS-2	E9285	1	0.05
0	SemSearch_LS-2	E14541	1	0.05
0	SemSearch_LS-2	E9762	1	0.05
0	SemSearch_LS-2	E15126	1	0.05
0	SemSearch_LS-2	E10246	5	0.25
0	SemSearch_LS-2	E4713	7	0.35
0	SemSearch_LS-2	E5510	1	0.05
0	SemSearch_LS-2	E9055	1	0.05
0	SemSearch_LS-2	E8418	1	0.05
0	SemSearch_LS-2	E6626	1	0.05
2	SemSearch_LS-2	E11156	2	0.1
0	SemSearch_LS-2	E11485	1	0.05
0	SemSearch_LS-2	E9721	1	0.05
0	SemSearch_LS-2	E1502	1	0.05
0	SemSearch_LS-2	E5100	1	0.05
0	SemSearch_LS-2	E6634	1	0.05
